Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,,25V 1uF X5R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0030,0.30,https://www.lcsc.com/product-detail/C52923.html
2,C15525,CL05A106MQ5NUNC,Samsung Electro-Mechanics,0402,,6.3V 10uF X5R ±20% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0047,0.47,https://www.lcsc.com/product-detail/C15525.html
3,C1562,0402CG330J500NT,FH,0402,,50V 33pF C0G ±5% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/C1562.html
4,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,,16V 100nF X7R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C1525.html
5,C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics,0402,,10V 4.7uF X5R ±20% 0402 Ceramic Capacitors RoHS,yes,50,50,50,0.0048,0.24,https://www.lcsc.com/product-detail/C23733.html
6,C965793,XL-1005UGC,XINGLIGHT,0402,,25mA 249mcd Top-mount 516nm~531nm Emerald Green 3V 80mW 0402 LED Indication - Discrete RoHS,yes,100,100,100,0.0069,0.69,https://www.lcsc.com/product-detail/C965793.html
7,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,"1 16P Type-C SMD USB, DVI, HDMI Connector Assemblies RoHS",yes,5,5,5,0.1752,0.88,https://www.lcsc.com/product-detail/C165948.html
8,C25905,0402WGF5101TCE,UNI-ROYAL,0402,,5.1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/C25905.html
9,C25100,0402WGF270JTCE,UNI-ROYAL,0402,,27Ω 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C25100.html
10,C11702,0402WGF1001TCE,UNI-ROYAL,0402,,1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C11702.html
11,C25867,0402WGF1501TCE,UNI-ROYAL,0402,,62.5mW 1.5kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C25867.html
12,C60081,0402WGF4121TCE,UNI-ROYAL,0402,,62.5mW 4.12kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0004,0.04,https://www.lcsc.com/product-detail/C60081.html
13,C159137,RTT021181FTH,RALEC,0402,,1.18kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/C159137.html
14,C67014,0402WGF1131TCE,UNI-ROYAL,0402,,1.13kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C67014.html
15,C25744,0402WGF1002TCE,UNI-ROYAL,0402,,10kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C25744.html
16,C720477,TS-1088-AR02016,XUNPU,"SMD,4x3mm",,"Without Bracket 4mm 12V 3mm Round Button SPST 50mA SMD,4x3mm Tactile Switches RoHS",yes,10,10,10,0.0418,0.42,https://www.lcsc.com/product-detail/C720477.html
17,C2040,RP2040,Raspberry Pi,LQFN-56(7x7),,133MHz 30 LQFN-56(7x7) Microcontrollers RoHS,yes,2,1,1,0.9482,1.90,https://www.lcsc.com/product-detail/C2040.html
18,C39051,MCP1700T-3302E/TT,MICROCHIP,SOT-23,,"44dB@(100Hz) Positive Fixed 3.3V SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,5,5,5,0.4067,2.03,https://www.lcsc.com/product-detail/C39051.html
19,C2861252,BQ24074RGTT,TI,VQFN-16-EP(3x3),,4.35V~10.5V Lithium Battery 1 1.5A VQFN-16-EP(3x3) Battery Chargers ICs RoHS,yes,2,1,1,2.9489,5.90,https://www.lcsc.com/product-detail/C2861252.html
20,C2843335,W25Q16JVUXIQ,Winbond,USON-8-EP(2x3),,16Mbit 2.7V~3.6V 133MHz SPI USON-8-EP(2x3) Memory (ICs) RoHS,yes,2,1,1,0.4944,0.99,https://www.lcsc.com/product-detail/C2843335.html
21,C9002,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,,Crystal Oscillator 20pF SMD3225-4P Crystals RoHS,yes,10,10,10,0.0669,0.67,https://www.lcsc.com/product-detail/C9002.html
